Testing SD card write operations: 2022-05-30 08:04:00
2022-05-30 08:05:01: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '46eda9ffcf9d80d64fe5c3cdd79cd7475ffd331d117ff29aac1c57c97db72f4c', 'rssi': -82, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:05:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '99fdcb6b49429566ed1a11cde539c48f21c7931b393f2920052de7f6e53025f3', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:05:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '441f5a75efe8fba7e5ddc253def2e503661aa8326020297bce0bd50c3bc0b52b', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:05:03: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '9358f3b519a1e81c4dbec7809f88a3110c9cdfb2680238bf1c3da2adf1aab2e9', 'rssi': -76, 'name': 'Tb20\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -11, 'adv_tx_pwr': 3}
2022-05-30 08:05:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'a25e987e1f5852a2c1a3a8d13ff2aebf048207a323e479122e2d701fe5dc0ceb', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:05:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1673bf4d2510ffab9cef06424e114cfb4fb8642953a3f62f2bea2bfdb007f9ac', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-30 08:05:06: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '08b721d265b786fc063a38a1bae1189aed563cbd13df26df4d3810ec961f9feb', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-05-30 08:05:07: {'adv_flag': 0, 'def_tx_pwr': 3, 'mac': 'ce18c3173720dd823111fbad95b01a98faf4e629d26feb1707583a658fa38e2c', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:05:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '5275350eff40f48a111068ca504b94850303ed1e48b131d02901610d2a7905f0', 'rssi': -84, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:05:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '949b1f11977fbc0d3ac4e8856ef8770640f8df7420ac7742a7ccc1712f119d07', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
