Testing SD card write operations: 2022-06-26 11:46:23
2022-06-26 11:50:15: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-34}
2022-06-26 11:50:17: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-38}
2022-06-26 11:50:19: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:50:21: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-30}
2022-06-26 11:50:23: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-26 11:50:24: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:50:26: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-26 11:50:26: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-72}
2022-06-26 11:50:28: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-44}
2022-06-26 11:50:30: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-26 11:50:32: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-35}
2022-06-26 11:50:34: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-33}
2022-06-26 11:50:36: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-34}
2022-06-26 11:50:37: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-39}
2022-06-26 11:50:41: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-36}
2022-06-26 11:50:43: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-34}
2022-06-26 11:50:45: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-56}
2022-06-26 11:50:47: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-26 11:50:47: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-58}
2022-06-26 11:50:48: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-26 11:50:50: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-26 11:50:50: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-58}
2022-06-26 11:50:52: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-26 11:50:52: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-62}
2022-06-26 11:50:54: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-26 11:50:56: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-26 11:50:58: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-12}
2022-06-26 11:51:00: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-15}
2022-06-26 11:51:01: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-13}
2022-06-26 11:51:03: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-13}
2022-06-26 11:51:05: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-13}
2022-06-26 11:51:07: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-26 11:51:09: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-26 11:51:11: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-26 11:51:13: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-32}
2022-06-26 11:51:14: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-14}
2022-06-26 11:51:14: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-68}
2022-06-26 11:51:16: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-14}
2022-06-26 11:51:18: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-16}
2022-06-26 11:51:20: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-14}
