Testing SD card write operations: 2022-05-20 21:03:46
2022-05-20 21:12:14: {'ssid':'M15', 'bssid':'8967f8a0de8a010e9479841f980d6daea152e90c1a8eb6d5384b14c9', 'sec':5, 'channel':11, 'rssi':-86}
2022-05-20 21:12:14: {'ssid':'M13', 'bssid':'8c84705e9d33d95f26884b67aa96b9c0a7b68829e3748f8a14c2ef01', 'sec':4, 'channel':11, 'rssi':-86}
2022-05-20 21:12:14: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-86}
2022-05-20 21:12:23: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-88}
2022-05-20 21:12:27: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-89}
2022-05-20 21:12:36: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-87}
2022-05-20 21:12:38: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-76}
2022-05-20 21:12:40: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-87}
2022-05-20 21:12:42: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-91}
2022-05-20 21:12:43: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-86}
2022-05-20 21:12:47: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-82}
2022-05-20 21:12:49: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-88}
2022-05-20 21:12:51: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-88}
2022-05-20 21:12:53: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-83}
2022-05-20 21:12:54: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-92}
2022-05-20 21:12:56: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-90}
2022-05-20 21:12:58: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-88}
2022-05-20 21:13:00: {'ssid':'M12', 'bssid':'0b32792d08f46d6dd0707f01f868b9150a0f838bafbbee3b2fe027fb', 'sec':3, 'channel':11, 'rssi':-84}
