Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:27:51: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-37}
2022-07-08 21:27:53: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:27:55: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-42}
2022-07-08 21:27:55: {'ssid':'M32', 'bssid':'8639a9ed4c3332035b40f41ecb6877c9b82325c1b60bf5f82c3c79977a0a32af', 'sec':3, 'channel':11, 'rssi':-94}
2022-07-08 21:27:57: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-35}
2022-07-08 21:28:02: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-38}
2022-07-08 21:28:04: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-34}
2022-07-08 21:28:06: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-41}
2022-07-08 21:28:12: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-50}
2022-07-08 21:28:54: {'ssid':'M30', 'bssid':'d04934a967017a7e6a91b377e2e2aa03bce526e3205d6cc738b6a38ba589a160', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-08 21:28:56: {'ssid':'M30', 'bssid':'d04934a967017a7e6a91b377e2e2aa03bce526e3205d6cc738b6a38ba589a160', 'sec':3, 'channel':6, 'rssi':-51}
2022-07-08 21:28:58: {'ssid':'M30', 'bssid':'d04934a967017a7e6a91b377e2e2aa03bce526e3205d6cc738b6a38ba589a160', 'sec':3, 'channel':6, 'rssi':-51}
