Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:17:25: {'ssid':'B651', 'bssid':'cf17217b20fa70b9c347c977e2ef4621bc0172321c5dc99199db8ceb', 'sec':3, 'channel':6, 'rssi':-91}
2022-07-07 09:17:31: {'ssid':'B66', 'bssid':'003f7bcfb89b8277e954d16d57cdfe0781dacb795eff92bb2f55eac5', 'sec':5, 'channel':6, 'rssi':-96}
2022-07-07 09:17:33: {'ssid':'B652', 'bssid':'169d6cb8527241aa29b154cc752bad30b221c4df85a4095079237688', 'sec':4, 'channel':11, 'rssi':-94}
2022-07-07 09:17:35: {'ssid':'B60 8 ', 'bssid':'b5790202f6640ec8498cb915a1576e2a9ad3f5b13b4121293f403c96', 'sec':3, 'channel':1, 'rssi':-86}
2022-07-07 09:17:37: {'ssid':'B654', 'bssid':'e91546b9f37d044ab1622766780f700d2f01d1fcb78c9c25927c6f75', 'sec':4, 'channel':11, 'rssi':-79}
2022-07-07 09:17:37: {'ssid':'B60 8 ', 'bssid':'b5790202f6640ec8498cb915a1576e2a9ad3f5b13b4121293f403c96', 'sec':3, 'channel':1, 'rssi':-88}
2022-07-07 09:17:40: {'ssid':'B655', 'bssid':'75283258aad52cb6a53e4f79e350d9f7f3f636a40157744c974d4328', 'sec':4, 'channel':6, 'rssi':-93}
2022-07-07 09:17:46: {'ssid':'B655', 'bssid':'75283258aad52cb6a53e4f79e350d9f7f3f636a40157744c974d4328', 'sec':4, 'channel':6, 'rssi':-90}
2022-07-07 09:17:49: {'ssid':'B655', 'bssid':'75283258aad52cb6a53e4f79e350d9f7f3f636a40157744c974d4328', 'sec':4, 'channel':6, 'rssi':-87}
2022-07-07 09:17:49: {'ssid':'B656', 'bssid':'c9d049ebb958b2a5e036c624dc01355bb540cf59028bdea3f4689b46', 'sec':3, 'channel':6, 'rssi':-93}
2022-07-07 09:17:53: {'ssid':'B657', 'bssid':'9707b941c252c86f34945f1bc998745773166409fa9dc64f383f9183', 'sec':3, 'channel':1, 'rssi':-77}
2022-07-07 09:18:01: {'ssid':'B655', 'bssid':'75283258aad52cb6a53e4f79e350d9f7f3f636a40157744c974d4328', 'sec':4, 'channel':6, 'rssi':-94}
2022-07-07 09:18:12: {'ssid':'B658', 'bssid':'48a8a4fc97ce9e7407d1cab526d9bac3b4b843c7d4e9312c94c4566a', 'sec':4, 'channel':1, 'rssi':-81}
2022-07-07 09:18:12: {'ssid':'B657', 'bssid':'9707b941c252c86f34945f1bc998745773166409fa9dc64f383f9183', 'sec':3, 'channel':1, 'rssi':-93}
